Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:53:10.214;2025/01/24 03:53:12.228;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:53:42.432;2025/01/24 03:53:53.494;00:00:11;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:57:56.979;2025/01/24 03:58:01.996;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:58:38.276;2025/01/24 03:58:51.360;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:00:01.744;2025/01/24 04:00:16.807;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:01:24.170;2025/01/24 04:01:55.356;00:00:31;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:05:47.702;2025/01/24 04:06:07.795;00:00:20;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:07:40.373;2025/01/24 04:07:59.498;00:00:19;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:10:01.185;2025/01/24 04:10:14.264;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:13:13.410;2025/01/24 04:13:34.515;00:00:21;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:14:33.895;2025/01/24 04:14:34.910;00:00:01;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:16:22.567;2025/01/24 04:16:26.585;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:18:12.272;2025/01/24 04:18:16.288;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:19:48.928;2025/01/24 04:20:03.008;00:00:14;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:22:21.878;2025/01/24 04:22:49.046;00:00:27;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:23:19.219;2025/01/24 04:23:30.267;00:00:11;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:25:32.016;2025/01/24 04:25:42.093;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:29:00.371;2025/01/24 04:29:18.498;00:00:18;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:29:59.698;2025/01/24 04:30:14.807;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:31:19.154;2025/01/24 04:31:23.186;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:32:34.639;2025/01/24 04:32:50.720;00:00:16;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:33:47.047;2025/01/24 04:34:26.281;00:00:39;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:37:19.300;2025/01/24 04:37:28.390;00:00:09;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:38:15.691;2025/01/24 04:38:22.721;00:00:07;
